beginTime,classType,EventOccurred
2014-06-15T23:44Z,M1.0,1
2014-07-01T11:04Z,M1.4,1
2014-07-08T16:08Z,M6.5,1
2014-07-09T00:20Z,M1.2,1
2014-07-10T22:30Z,M1.5,1
2014-07-31T11:01Z,M2.5,1
2014-08-01T14:46Z,M2.0,1
2014-08-01T18:00Z,M1.5,1
2014-08-21T13:19Z,M3.4,1
2014-08-22T06:18Z,M1.2,1
2014-08-24T12:00Z,M5.9,1
2014-08-25T14:46Z,M2.0,1
2014-08-25T20:06Z,M3.9,1
2014-09-03T13:20Z,M2.5,1
2014-09-06T16:50Z,M1.1,1
2014-09-08T23:12Z,M4.6,1
2014-09-10T17:21Z,X1.6,1
2014-09-11T15:20Z,M2.1,1
2014-09-11T21:24Z,M1.4,1
2014-09-14T02:03Z,M1.5,1
2014-09-18T08:37Z,M1.2,1
2014-09-23T23:02Z,M2.3,1
2014-09-27T08:32Z,M1.0,1
2014-09-28T02:39Z,M5.1,1
2014-09-28T16:34Z,M1.0,1
2014-10-02T17:10Z,M1.5,1
2014-10-02T18:49Z,M7.3,1
2014-10-09T01:30Z,M1.3,1
2014-10-09T01:54Z,M1.4,1
2014-10-09T06:48Z,M1.2,1
2014-10-10T15:42Z,C3.0,1
2014-10-14T18:21Z,M1.1,1
2014-10-14T19:07Z,M2.2,1
2014-10-16T12:58Z,M4.3,1
2014-10-18T07:02Z,M1.6,1
2014-10-19T04:17Z,X1.1,1
2014-10-20T09:00Z,M3.9,1
2014-10-20T16:00Z,M4.5,1
2014-10-20T18:55Z,M1.4,1
2014-10-20T19:53Z,M1.7,1
2014-10-20T22:43Z,M1.2,1
2014-10-21T13:35Z,M1.2,1
2014-10-22T01:16Z,M8.7,1
2014-10-22T05:11Z,M2.7,1
2014-10-22T14:02Z,X1.6,1
2014-10-22T15:51Z,M1.4,1
2014-10-23T09:44Z,M1.1,1
2014-10-24T07:37Z,M4.0,1
2014-10-24T21:07Z,X3.1,1
2014-10-25T16:55Z,X1.0,1
2014-10-26T10:04Z,X2.0,1
2014-10-26T17:08Z,M1.0,1
2014-10-26T18:07Z,M4.2,1
2014-10-26T18:43Z,M1.9,1
2014-10-26T19:59Z,M2.4,1
2014-10-27T00:06Z,M7.1,1
2014-10-27T01:44Z,M1.0,1
2014-10-27T03:35Z,M1.3,1
2014-10-27T09:59Z,M6.7,1
2014-10-27T14:12Z,X2.0,1
2014-10-27T17:33Z,M1.4,1
2014-10-28T02:15Z,M3.4,1
2014-10-28T03:23Z,M6.6,1
2014-10-28T13:54Z,M1.6,1
2014-10-29T06:03Z,M1.0,1
2014-10-29T09:54Z,M1.2,1
2014-10-29T14:24Z,M1.4,1
2014-10-29T16:06Z,M1.0,1
2014-10-29T18:47Z,M1.3,1
2014-10-29T21:18Z,M2.3,1
2014-10-30T00:34Z,M1.3,1
2014-10-30T01:19Z,M3.5,1
2014-10-30T04:17Z,M1.2,1
2014-11-03T11:23Z,M2.2,1
2014-11-03T22:15Z,M6.5,1
2014-11-04T07:59Z,M2.6,1
2014-11-04T08:52Z,M2.3,1
2014-11-05T09:26Z,M7.9,1
2014-11-05T18:50Z,M2.9,1
2014-11-06T01:29Z,M3.2,1
2014-11-06T03:32Z,M5.4,1
2014-11-06T21:53Z,M2.5,1
2014-11-07T02:05Z,M2.7,1
2014-11-07T04:12Z,M2.0,1
2014-11-07T10:13Z,M1.0,1
2014-11-07T16:53Z,X1.6,1
2014-11-09T15:24Z,M2.3,1
2014-11-15T11:40Z,M3.2,1
2014-11-15T20:38Z,M3.7,1
2014-11-16T17:35Z,M5.7,1
2014-12-01T06:26Z,M1.8,1
2014-12-04T08:00Z,M1.3,1
2014-12-04T18:05Z,M6.1,1
2014-12-04T19:38Z,M1.3,1
2014-12-05T11:33Z,M1.5,1
2014-12-13T05:13Z,M1.5,1
2014-12-14T19:25Z,M1.6,1
2014-12-17T00:57Z,M1.5,1
2014-12-17T01:41Z,M1.1,1
2014-12-17T04:25Z,M8.7,1
2014-12-17T18:54Z,M1.4,1
2014-12-18T21:41Z,M6.9,1
2014-12-19T09:33Z,M1.3,1
2014-12-20T00:11Z,X1.8,1
2014-12-21T07:18Z,M1.2,1
2014-12-21T11:24Z,M1.0,1
2014-12-22T01:33Z,M1.0,1
2014-12-27T02:03Z,M2.2,1
2015-01-03T09:43Z,M1.1,1
2015-01-04T15:18Z,M1.3,1
2015-01-13T04:13Z,M5.6,1
2015-01-13T04:45Z,M4.9,1
2015-01-14T12:48Z,M2.2,1
2015-01-22T04:45Z,M1.4,1
2015-01-26T16:46Z,M1.1,1
2015-01-28T04:21Z,M1.4,1
2015-01-28T21:32Z,M1.0,1
2015-01-29T11:32Z,M2.1,1
2015-01-30T00:32Z,M2.0,1
2015-01-30T05:29Z,M1.7,1
2015-01-30T12:10Z,M2.4,1
2015-02-04T02:10Z,M1.2,1
2015-02-09T22:59Z,M2.4,1
2015-02-12T02:00Z,C6.0,1
